"","Respondent.ID","Start_Date","Age","Gender","Continent","Highest_Education","SES","Social_media_used_most","Hours_use","Seen_vaccines_post","SM_influence","Trust_most","MMR_autism","Disease_rare","Parents_decide","Neurological_problems","Handle_multiple","CDC_not_trustworthy","Follow_recommendation","Vaccine_risk","Measles_efficacy","Avoid_death","Data_publicity","Protect_immunocompromised"
"1360",10164926059,"8/16/18 13:56","35-44","Female","North America, United States","Bachelor_Degree","Upper Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","Unsure","True","True","True","True","True","True"
"1361",10164925728,"8/16/18 13:55","35-44","Male","North America, United States","Master_Degree","Middle Class","Facebook","0-2","No","No_influence","Doctors","False","False","True","False","False","Unsure","True","Unsure","True","False","True","True"
"1362",10164923971,"8/16/18 13:54","25-34","Female","North America, United States","High_school","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"1363",10164923308,"8/16/18 13:54","65+","Male","Australia/ Oceania","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","Unsure","False","Unsure","True","True","Unsure","True","True"
"1364",10164923252,"8/16/18 13:54","65+","Male","North America, Other","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","True","False","False","False","True","True","True","True","Unsure","True"
"1365",10164921794,"8/16/18 13:53","25-34","Female","North America, United States","High_school","Middle Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1366",10164919293,"8/16/18 13:52","45-54","Female","North America, United States","High_school","Middle Class","Facebook","3-4","Yes","Influenced_worse","Doctors","Unsure","False","False","False","False","Unsure","True","True","True","True","True","True"
"1367",10164916933,"8/16/18 13:51","35-44","Female","Europe","Associate_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1368",10164916227,"8/16/18 13:50","25-34","Female","Europe","Master_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","Unsure","True","True"
"1369",10164913020,"8/16/18 13:49","25-34","Female","North America, United States","High_school","Middle Class","Facebook","3-4","Yes","Influenced_worse","Family","False","False","True","True","True","True","False","Unsure","True","Unsure","Unsure","True"
"1370",10164908525,"8/16/18 13:46","25-34","Female","North America, United States","Professional_Degree","Upper Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1371",10164906787,"8/16/18 13:45","18-24","Male","North America, United States","Associate_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","Unsure","False","Unsure","False","True","Unsure","True","True","Unsure","True"
"1372",10164900180,"8/16/18 13:42","25-34","Female","North America, United States","Master_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1373",10164899236,"8/16/18 13:41","45-54","Female","North America, United States","Master_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1374",10164898124,"8/16/18 13:40","25-34","Female","North America, United States","Master_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1375",10164894434,"8/16/18 13:38","25-34","Male","North America, United States","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","Unsure","Unsure","Unsure","True","True"
"1376",10164889299,"8/16/18 13:34","45-54","Female","North America, United States","Associate_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","Unsure","False","False","True","Unsure","True","True","Unsure","True","True","True"
"1377",10164888910,"8/16/18 13:35","55-64","Female","North America, United States","Master_Degree","Upper Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1378",10164885425,"8/16/18 13:33","25-34","Female","North America, United States","Associate_Degree","Middle Class","Facebook","0-2","No","No_influence","Doctors","Unsure","False","False","False","False","True","True","False","False","False","True","False"
"1379",10164883955,"8/16/18 13:33","25-34","Female","North America, United States","Professional_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","Unsure","Unsure","True","True"
"1380",10164881020,"8/16/18 13:31","18-24","Other / Prefer not to answer","Europe","Bachelor_Degree","Middle Class","Twitter","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
